StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q25,Q46,Q47,Q47_4_TEXT,Playback Device,Environment_Quality_1,MSS_Familiarity_1,Assessment_Familiari_1,NG_Drums_HTDemucs_1,NG_Drums_Ref_1,NG_Drums_Spleeter_1,NG_Drums_Anch_1,NG_Drums_Dv2_1,Monstaclat_Drums_HTDemucs_1,Monstaclat_Drums_Ref_1,Monstaclat_Drums_Spleeter_1,Monstaclat_Drums_Anchor_1,Monstaclat_Drums_Dv2_1,Celebrate_Bass_HTDemucs_1,Celebrate_Bass_Ref_1,Celebrate_Bass_Spleeter_1,Celebrate_Bass_Anchor_1,Celebrate_Bass_Dv2_1,JG_Bass_HTD_1,JG_Bass_Ref_1,JG_Bass_Spl_1,JG_Bass_Anch_1,JG_Bass_Dv2_1,TF_Bass_HTD_1,TF_Bass_Ref_1,TF_Bass_Spl_1,TF_Bass_Anch_1,TF_Bass_Dv2_1,DropNoir_Drums_HTD_1,DropNoir_Drums_Ref_1,DropNoir_Drums_Spl_1,DropNoir_Drums_Anch_1,DropNoir_Drums_Dv2_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"ELECTRONIC CONSENT FORM


Hello, my name is Sahan Wijewardane and I am currently conducting a research study for the MUE 705 “Current Trends in Music Engineering” class, alongside supervision from Dr. Tom Collins.


PURPOSE OF STUDY:
We are asking you to take part in a research study to learn more about the correlation between objective and subjective evaluations of music source separation (MSS) model performance. You will be asked to take part in a Qualtrics survey using a computer or phone. Throughout the study, you will be asked to rate audio stimuli based on a few criteria, including presence of external artifacts and overall quality. The given audio stimuli will consist of one of two categories (bass or drums). There will also be some questions asking you to report on the quality of your listening environment and your familiarity with the technologies involved.



Risks involved in participating in this study are as follows:
• You may become bored or irritated because of the length of the study.

• You may be fatigued by repeated listening to audio stimuli
Benefits involved in participating in this study are as follows:

• Being a part of a study that aims to shed light on a significant and timely topic


You will not be paid for participating in this research study. The study is private. The researchers will not share what they learn about you in a way that is tied to your identity. The researchers working on the study and the part of the government that makes the rules about research will need to see what is learned, but they are not allowed to tell anyone about you. If you are a student, your decision not to join this study or to withdraw from the study will not affect your grades or other academic standings at the University of Miami. If you are an employee of the University of Miami (UM), your decision not to join this study or to withdraw from the study will not affect your employment at the University of Miami System. Study responses will be kept private and anonymous. We will not store your name or any other personal information. Your participation is voluntary. You can decline to participate, and you can stop your participation at any time, if you wish to do so, without any negative consequences to you. By checking the box below, you consent to participate in this research project.



If you have any questions or concerns about the research, please feel free to contact me at sxw1454@miami.edu or the principal investigator, Dr. Tom Collins, at tom.collins@miami.edu If you have questions regarding your rights as a research participant, contact the University of Miami, Human Subject Research Office at (305) 243-3195.","IMPORTANT:

 

Accurately completing this survey requires critical listening across the audible spectrum. For that reason it is highly encouraged that you take this survey with a quality playback device and in a quiet listening environment. You will be asked to self-report both the state of your listening environment and what playback device you are using.",How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,"What playback device (i.e. laptop speakers, headphones, etc.) are you taking this survey on?","Rate the quality of your listening environment, from 1 (dreadful) to 5 (pristine): - Quality of Listening Environment","Rate your familiarity with music source separation, from 1 (Completely unfamiliar) to 5 (Extremely familiar): - Familiarity with music source separation","Rate your familiarity with assessing the quality of audio recordings, from 1 (Completely unfamiliar) to 5 (Extremely familiar): - Familiarity with audio quality assessment","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated bass sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating","Please listen to all of the separated drums sources below. Then use the text input to give each a numerical rating, from 0 (Bad) to 100 (Excellent). Consider both the presence of external artifacts and the overall audio quality.  Play each audio clip as often as you need. There are no right/wrong answers — use your perception. - No Name - - Rating"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20""}","{""ImportId"":""QID43""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_4_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID38_1_1""}","{""ImportId"":""QID38_2_1""}","{""ImportId"":""QID38_3_1""}","{""ImportId"":""QID38_4_1""}","{""ImportId"":""QID38_5_1""}","{""ImportId"":""QID34_1_1""}","{""ImportId"":""QID34_2_1""}","{""ImportId"":""QID34_3_1""}","{""ImportId"":""QID34_4_1""}","{""ImportId"":""QID34_5_1""}","{""ImportId"":""QID40_1_1""}","{""ImportId"":""QID40_2_1""}","{""ImportId"":""QID40_3_1""}","{""ImportId"":""QID40_4_1""}","{""ImportId"":""QID40_5_1""}","{""ImportId"":""QID36_1_1""}","{""ImportId"":""QID36_2_1""}","{""ImportId"":""QID36_3_1""}","{""ImportId"":""QID36_4_1""}","{""ImportId"":""QID36_5_1""}","{""ImportId"":""QID32_1_1""}","{""ImportId"":""QID32_2_1""}","{""ImportId"":""QID32_3_1""}","{""ImportId"":""QID32_4_1""}","{""ImportId"":""QID32_5_1""}","{""ImportId"":""QID42_1_1""}","{""ImportId"":""QID42_2_1""}","{""ImportId"":""QID42_3_1""}","{""ImportId"":""QID42_4_1""}","{""ImportId"":""QID42_5_1""}"
2025-11-22 05:58:40,2025-11-22 06:07:17,IP Address,12.167.241.180,100,516,True,2025-11-22 06:07:17,R_7e3XZuS2JIEzfcF,,,,,28.4627,-81.3954,anonymous,EN,I have read and understand the above information and consent to participate in this study,I have read and understand the above information,18-24 years old,Female,,Airpods Pro,3,3,4,85,70,80,15,90,85,55,45,4,70,60,80,70,5,70,80,10,65,20,60,60,70,40,10,65,70,60,55,5,80
2025-11-23 18:31:07,2025-11-23 18:38:50,IP Address,99.153.160.9,100,462,True,2025-11-23 18:38:50,R_3lPu8VVtL0W2R3P,,,,,25.7034,-80.2927,anonymous,EN,I have read and understand the above information and consent to participate in this study,I have read and understand the above information,18-24 years old,Male,,Air Pod Pros,4,3,4,70,20,100,0,70,90,80,10,0,90,80,100,50,0,20,90,67,20,0,20,20,70,0,0,0,70,30,50,0,70
2025-11-23 19:05:02,2025-11-23 19:12:21,IP Address,76.128.106.9,100,438,True,2025-11-23 19:12:21,R_1JwGvFWeKC6CHwR,,,,,25.761,-80.2325,anonymous,EN,I have read and understand the above information and consent to participate in this study,I have read and understand the above information,18-24 years old,Male,,Speakers,3,3,4,90,50,80,30,75,70,60,35,20,40,50,90,50,20,40,90,90,30,30,50,80,90,30,20,20,50,70,50,20,60
2025-11-24 12:56:38,2025-11-24 13:09:37,IP Address,108.233.247.248,100,778,True,2025-11-24 13:09:37,R_5WA3cAW31DwdhbH,,,,,26.2546,-80.1762,anonymous,EN,I have read and understand the above information and consent to participate in this study,I have read and understand the above information,18-24 years old,Female,,Bluetooth Headphones,3,2,4,75,70,65,8,55,84,80,75,3,85,68,70,65,3,65,90,70,60,5,75,45,55,15,5,35,80,40,60,5,55
2025-11-24 16:18:00,2025-11-24 16:41:21,IP Address,104.180.163.17,100,1400,True,2025-11-24 16:41:21,R_6AnU9BkBYXSJNbb,,,,,32.7319,-96.9057,anonymous,EN,I have read and understand the above information and consent to participate in this study,I have read and understand the above information,18-24 years old,Male,,Sennhesier HD 280 pro headphones,5,5,4,90,75,60,5,90,98,90,70,0,80,70,65,50,0,55,70,80,65,5,50,80,90,35,0,20,75,90,70,0,64
2025-11-24 19:34:13,2025-11-24 19:45:40,IP Address,71.89.10.130,100,686,True,2025-11-24 19:45:40,R_3dpnREXkz0PFPop,,,,,42.6689,-71.5934,anonymous,EN,I have read and understand the above information and consent to participate in this study,I have read and understand the above information,18-24 years old,Male,,Earbuds,3,2,3,90,88,45,1,60,60,95,70,1,66,45,40,10,1,35,80,60,60,1,55,55,50,5,1,20,45,67,10,1,88
2025-11-24 19:37:30,2025-11-24 20:48:17,IP Address,173.76.205.229,100,4247,True,2025-11-24 20:48:18,R_7iU4PufbErOgfIs,,,,,42.2869,-71.2395,anonymous,EN,I have read and understand the above information and consent to participate in this study,I have read and understand the above information,18-24 years old,Male,,"Laptop ",4,4,3,7,9,4,0,6,7,8,4,0,2,2,3,5,0,6,7,4,2,1,3,5,7,1,0,0,5,7,6,0,6
2025-11-24 21:52:29,2025-11-24 22:00:11,IP Address,184.104.185.65,100,461,True,2025-11-24 22:00:11,R_1r1z7T59o2cbc2Z,,,,,40.6799,-74.0028,anonymous,EN,I have read and understand the above information and consent to participate in this study,I have read and understand the above information,18-24 years old,Male,,Headphones,4,4,4,80,20,35,10,95,74,20,70,0,88,77,70,87,0,76,68,40,20,3,72,30,80,10,0,25,85,65,90,0,90
